date,open,high,low,close,volume,key,ticker,market,label
2024-05-21,232740.1980270127,233722.22417902545,229303.1064949682,231758.171875,120278,LGIT,011070.KS,KR,LG이노텍
2024-05-22,231758.1641791045,232740.19029850748,228812.0858208956,230285.125,117162,LGIT,011070.KS,KR,LG이노텍
2024-05-23,229794.1091772152,239123.35719936708,228321.0700158228,232740.1875,196854,LGIT,011070.KS,KR,LG이노텍
2024-05-24,228812.0959302325,234213.2398255814,225866.0174418605,232249.1875,119220,LGIT,011070.KS,KR,LG이노텍
2024-05-27,233722.21875,234213.23181460085,229794.11423319328,233722.21875,104874,LGIT,011070.KS,KR,LG이노텍
2024-05-28,231267.16097990604,235686.2787056368,228812.09557672232,235195.265625,136128,LGIT,011070.KS,KR,LG이노텍
2024-05-29,240105.39034090907,251398.6909090909,235195.2596590909,243051.46875,425967,LGIT,011070.KS,KR,LG이노텍
2024-05-30,244033.502921748,247961.60759654472,237650.33282520325,241578.4375,192486,LGIT,011070.KS,KR,LG이노텍
2024-05-31,245997.54974168347,253362.74584173385,243542.484375,243542.484375,345454,LGIT,011070.KS,KR,LG이노텍
2024-06-03,248452.6044176707,248943.6174698795,241578.421686747,244524.5,143571,LGIT,011070.KS,KR,LG이노텍
2024-06-04,245997.5556520061,249434.6472479424,238141.34628986623,238632.359375,143638,LGIT,011070.KS,KR,LG이노텍
2024-06-05,239123.3619364754,244524.5056352459,235195.25742827868,239614.375,129367,LGIT,011070.KS,KR,LG이노텍
2024-06-07,240105.3883233921,241578.4275155601,234704.244618776,236668.296875,144701,LGIT,011070.KS,KR,LG이노텍
2024-06-10,238632.359375,244033.5033114712,235686.2808641976,238632.359375,161372,LGIT,011070.KS,KR,LG이노텍
2024-06-11,232249.18300653592,232740.19607843136,216045.7516339869,225375.0,487174,LGIT,011070.KS,KR,LG이노텍
2024-06-12,250907.68015438243,267111.11155378487,246488.5625,246488.5625,1644960,LGIT,011070.KS,KR,LG이노텍
2024-06-13,252871.7330994898,252871.7330994898,239123.3670280612,240596.40625,442866,LGIT,011070.KS,KR,LG이노텍
2024-06-14,241087.42228929923,259745.9193300189,235195.265329072,259254.90625,487478,LGIT,011070.KS,KR,LG이노텍
2024-06-17,256799.84375,261218.9615200765,252380.7259799236,256799.84375,207474,LGIT,011070.KS,KR,LG이노텍
2024-06-18,260236.9298505693,265147.0606024668,254835.786023482,258763.890625,271868,LGIT,011070.KS,KR,LG이노텍
2024-06-19,259745.90881485847,265147.05247641506,258763.88269457547,260236.921875,183966,LGIT,011070.KS,KR,LG이노텍
2024-06-20,260236.9353489484,262200.9876912046,256308.83066443595,256799.84375,107752,LGIT,011070.KS,KR,LG이노텍
2024-06-21,249925.6457619863,256308.8154965753,249434.63270547945,250907.671875,131786,LGIT,011070.KS,KR,LG이노텍
2024-06-24,249434.6347805344,261218.9482347328,249434.6347805344,257290.84375,192355,LGIT,011070.KS,KR,LG이노텍
2024-06-25,260236.92443502825,264656.04201977403,257290.8460451977,260727.9375,169003,LGIT,011070.KS,KR,LG이노텍
2024-06-26,259254.8901098901,269075.1510989011,257781.85096153847,268093.125,185144,LGIT,011070.KS,KR,LG이노텍
2024-06-27,268093.1511948529,268584.1642922794,262692.00712316175,267111.125,126508,LGIT,011070.KS,KR,LG이노텍
2024-06-28,268584.1642922794,268584.1642922794,260727.95473345587,267111.125,133144,LGIT,011070.KS,KR,LG이노텍
2024-07-01,264165.0544131238,268584.1724237523,263183.0281885397,265638.09375,79728,LGIT,011070.KS,KR,LG이노텍
2024-07-02,267111.10966542753,273003.26649628254,261709.9659038104,264165.03125,168675,LGIT,011070.KS,KR,LG이노텍
2024-07-03,267602.11777712265,267602.11777712265,258272.869634434,260236.921875,122769,LGIT,011070.KS,KR,LG이노텍
2024-07-04,261218.94776119405,264656.0391791045,253853.7518656717,263183.0,201393,LGIT,011070.KS,KR,LG이노텍
2024-07-05,263183.0181564246,267602.13599860336,262200.9919692738,263674.03125,138334,LGIT,011070.KS,KR,LG이노텍
2024-07-08,265147.0440108893,271530.2135889292,263674.00487749546,270548.1875,158890,LGIT,011070.KS,KR,LG이노텍
2024-07-09,272512.25284090906,273003.26590909093,267602.1221590909,270057.1875,158055,LGIT,011070.KS,KR,LG이노텍
2024-07-10,272512.2692934782,283805.57054347824,270548.2169021739,282332.53125,313836,LGIT,011070.KS,KR,LG이노텍
2024-07-11,289206.6773014834,291661.742473822,281350.46875,281350.46875,204355,LGIT,011070.KS,KR,LG이노텍
2024-07-12,275458.3478804348,282823.5443478261,273494.2954891304,282332.53125,154434,LGIT,011070.KS,KR,LG이노텍
2024-07-15,286751.6532258065,293134.8235887097,284787.60080645164,289206.71875,174319,LGIT,011070.KS,KR,LG이노텍
2024-07-16,293625.8277110927,299517.9847889073,292643.80153145693,296571.90625,281238,LGIT,011070.KS,KR,LG이노텍
2024-07-17,299517.95875420875,300008.9718013468,290188.7108585859,291661.75,150478,LGIT,011070.KS,KR,LG이노텍
2024-07-18,288715.6947236181,294607.851758794,285769.6162060301,293134.8125,179290,LGIT,011070.KS,KR,LG이노텍
2024-07-19,292152.75,292643.7630252101,280859.45042016805,292152.75,227052,LGIT,011070.KS,KR,LG이노텍
2024-07-22,290188.7250659051,290188.7250659051,275458.33293058,279386.4375,161070,LGIT,011070.KS,KR,LG이노텍
2024-07-23,281841.48195187165,284787.5601604278,273003.2473262032,275458.3125,129573,LGIT,011070.KS,KR,LG이노텍
2024-07-24,277913.41006375226,279877.462431694,260727.95184426228,269566.1875,340577,LGIT,011070.KS,KR,LG이노텍
2024-07-25,271039.20696324954,272021.2330754352,249925.64555125727,253853.75,409177,LGIT,011070.KS,KR,LG이노텍
2024-07-26,251398.68725868725,256799.83093026065,245997.5435871139,254344.765625,151158,LGIT,011070.KS,KR,LG이노텍
2024-07-29,257290.84772727272,259254.9,241087.41647727272,243051.46875,299454,LGIT,011070.KS,KR,LG이노텍
2024-07-30,242069.4454719388,245506.53698979592,239614.3801020408,240596.40625,147943,LGIT,011070.KS,KR,LG이노텍
2024-07-31,242069.4543762207,251398.703125,238141.3496398925,251398.703125,197299,LGIT,011070.KS,KR,LG이노텍
2024-08-01,253362.7423245614,256308.8207236842,245506.5332602339,251889.703125,151570,LGIT,011070.KS,KR,LG이노텍
2024-08-02,243051.4771412037,246979.58182227367,237159.3201195988,238632.359375,154353,LGIT,011070.KS,KR,LG이노텍
2024-08-05,231267.1581896552,232740.1974137931,207207.51752873565,213590.6875,334018,LGIT,011070.KS,KR,LG이노텍
2024-08-06,223901.96834415584,232249.1908482143,220955.8898133117,226848.046875,202749,LGIT,011070.KS,KR,LG이노텍
2024-08-07,222919.93348861285,242560.45626294,221937.9073498965,237159.3125,211807,LGIT,011070.KS,KR,LG이노텍
2024-08-08,234213.2416087963,242069.45097093625,232740.20235339503,238632.359375,149122,LGIT,011070.KS,KR,LG이노텍
2024-08-09,244033.47959792992,245997.53174761147,230285.11455015923,231267.140625,170355,LGIT,011070.KS,KR,LG이노텍
2024-08-12,235195.25938747503,247470.58607784432,235195.25938747503,245997.546875,187804,LGIT,011070.KS,KR,LG이노텍
2024-08-13,247470.58864541832,250416.6670816733,242560.4579183267,246488.5625,116109,LGIT,011070.KS,KR,LG이노텍
2024-08-14,250416.661875,251398.688,243542.479,245506.53125,89822,LGIT,011070.KS,KR,LG이노텍
2024-08-16,250416.6564360119,250907.6694878472,245997.53896949405,247470.578125,104110,LGIT,011070.KS,KR,LG이노텍
2024-08-19,249434.63575,252871.7271875,245015.5181875,245506.53125,101307,LGIT,011070.KS,KR,LG이노텍
2024-08-20,247961.6046277666,249434.64386317905,242069.44768611668,244033.5,86525,LGIT,011070.KS,KR,LG이노텍
2024-08-21,244524.5023514852,252380.71126237625,242560.4501237624,247961.59375,104656,LGIT,011070.KS,KR,LG이노텍
2024-08-22,248943.62755290352,249434.640625,244033.49683193897,249434.640625,91175,LGIT,011070.KS,KR,LG이노텍
2024-08-23,246488.5621924213,250416.6667691929,245015.52297613188,249434.640625,62917,LGIT,011070.KS,KR,LG이노텍
2024-08-26,250907.6830985916,252871.73541247484,242560.4607645875,244033.5,86959,LGIT,011070.KS,KR,LG이노텍
2024-08-27,242560.45486111112,252380.71619152048,242069.44179459065,251889.703125,101783,LGIT,011070.KS,KR,LG이노텍
2024-08-28,253853.75256394787,255817.8048081564,250416.66113658305,254344.765625,90717,LGIT,011070.KS,KR,LG이노텍
2024-08-29,251398.69144981413,264656.04431923793,247470.5868959108,264165.03125,162615,LGIT,011070.KS,KR,LG이노텍
2024-08-30,268093.1502922662,274476.32053732016,263183.0193345324,273003.28125,224792,LGIT,011070.KS,KR,LG이노텍
2024-09-02,273003.2602678571,276440.35167410714,266620.0905133929,274967.3125,167401,LGIT,011070.KS,KR,LG이노텍
2024-09-03,273003.2732558139,273003.2732558139,252871.73691860464,253362.75,392556,LGIT,011070.KS,KR,LG이노텍
2024-09-04,240105.39349819213,247961.60269240703,236177.2889010847,237650.328125,279450,LGIT,011070.KS,KR,LG이노텍
2024-09-05,239123.3650746856,245506.53498427675,232740.1951650944,234213.234375,214960,LGIT,011070.KS,KR,LG이노텍
2024-09-06,235686.2688984881,238632.3472597192,224883.98157397407,227339.046875,184530,LGIT,011070.KS,KR,LG이노텍
2024-09-09,224392.98309210528,234704.2580263158,223410.95690789475,233231.21875,117088,LGIT,011070.KS,KR,LG이노텍
